Date,Visitor,visitor_goals,Home,home_goals,goals_difference
4/16/2022,Toronto Maple Leafs,5,Ottawa Senators,4,
4/16/2022,New Jersey Devils,3,Seattle Kraken,4,
4/16/2022,Minnesota Wild,5,St. Louis Blues,6,
4/16/2022,Winnipeg Jets,4,Tampa Bay Lightning,7,
4/17/2022,Columbus Blue Jackets,4,Anaheim Ducks,6,
4/17/2022,Florida Panthers,6,Detroit Red Wings,1,
4/17/2022,San Jose Sharks,4,Minnesota Wild,5,
4/17/2022,St. Louis Blues,8,Nashville Predators,3,
4/17/2022,Buffalo Sabres,5,Philadelphia Flyers,3,
4/17/2022,New York Islanders,2,Toronto Maple Leafs,4,
4/18/2022,Carolina Hurricanes,5,Arizona Coyotes,3,
4/18/2022,Calgary Flames,5,Chicago Blackhawks,2,
4/18/2022,Washington Capitals,3,Colorado Avalanche,2,
4/18/2022,Ottawa Senators,2,Seattle Kraken,4,
4/18/2022,Dallas Stars,2,Vancouver Canucks,6,
4/18/2022,New Jersey Devils,3,Vegas Golden Knights,2,
4/19/2022,Los Angeles Kings,2,Anaheim Ducks,1,
4/19/2022,Minnesota Wild,2,Montreal Canadiens,0,
4/19/2022,Calgary Flames,2,Nashville Predators,3,
4/19/2022,Florida Panthers,3,New York Islanders,2,
4/19/2022,Winnipeg Jets,0,New York Rangers,3,
4/19/2022,Columbus Blue Jackets,2,San Jose Sharks,3,
4/19/2022,Boston Bruins,3,St. Louis Blues,2,
4/19/2022,Detroit Red Wings,4,Tampa Bay Lightning,3,
4/19/2022,Philadelphia Flyers,2,Toronto Maple Leafs,5,
4/19/2022,Ottawa Senators,4,Vancouver Canucks,3,
4/20/2022,Chicago Blackhawks,4,Arizona Coyotes,3,
4/20/2022,Dallas Stars,2,Edmonton Oilers,5,
4/20/2022,Colorado Avalanche,2,Seattle Kraken,3,
4/20/2022,Washington Capitals,3,Vegas Golden Knights,4,
4/21/2022,Winnipeg Jets,2,Carolina Hurricanes,4,
4/21/2022,Dallas Stars,2,Calgary Flames,4,
4/21/2022,Detroit Red Wings,2,Florida Panthers,5,
4/21/2022,Chicago Blackhawks,1,Los Angeles Kings,4,
4/21/2022,Vancouver Canucks,3,Minnesota Wild,6,
4/21/2022,Philadelphia Flyers,6,Montreal Canadiens,3,
4/21/2022,Buffalo Sabres,5,New Jersey Devils,2,
4/21/2022,New York Rangers,6,New York Islanders,3,
4/21/2022,Boston Bruins,0,Pittsburgh Penguins,4,
4/21/2022,St. Louis Blues,3,San Jose Sharks,1,
4/21/2022,Toronto Maple Leafs,1,Tampa Bay Lightning,8,
4/22/2022,Washington Capitals,2,Arizona Coyotes,0,
4/22/2022,Ottawa Senators,2,Columbus Blue Jackets,1,
4/22/2022,Colorado Avalanche,3,Edmonton Oilers,6,
4/22/2022,Seattle Kraken,3,Minnesota Wild,6,
4/23/2022,St. Louis Blues,5,Arizona Coyotes,4,
4/23/2022,New York Rangers,1,Boston Bruins,3,
4/23/2022,New York Islanders,3,Buffalo Sabres,5,
4/23/2022,Vancouver Canucks,3,Calgary Flames,6,
4/23/2022,Seattle Kraken,2,Dallas Stars,3,
4/23/2022,Pittsburgh Penguins,7,Detroit Red Wings,2,
4/23/2022,Toronto Maple Leafs,2,Florida Panthers,3,
4/23/2022,Anaheim Ducks,2,Los Angeles Kings,4,
4/23/2022,Carolina Hurricanes,3,New Jersey Devils,2,
4/23/2022,Montreal Canadiens,4,Ottawa Senators,6,
4/23/2022,Chicago Blackhawks,1,San Jose Sharks,4,
4/23/2022,Nashville Predators,2,Tampa Bay Lightning,6,
4/24/2022,St. Louis Blues,6,Anaheim Ducks,3,
4/24/2022,Edmonton Oilers,2,Columbus Blue Jackets,5,
4/24/2022,Tampa Bay Lightning,8,Florida Panthers,4,
4/24/2022,Boston Bruins,5,Montreal Canadiens,3,
4/24/2022,Detroit Red Wings,3,New Jersey Devils,0,
4/24/2022,Minnesota Wild,5,Nashville Predators,4,
4/24/2022,Carolina Hurricanes,5,New York Islanders,2,
4/24/2022,Pittsburgh Penguins,1,Philadelphia Flyers,4,
4/24/2022,San Jose Sharks,5,Vegas Golden Knights,4,
4/24/2022,Colorado Avalanche,1,Winnipeg Jets,4,
4/24/2022,Toronto Maple Leafs,4,Washington Capitals,3,
4/25/2022,Philadelphia Flyers,1,Chicago Blackhawks,3,
4/26/2022,Florida Panthers,2,Boston Bruins,4,
4/26/2022,St. Louis Blues,3,Colorado Avalanche,5,
4/26/2022,Vegas Golden Knights,2,Dallas Stars,3,
4/26/2022,Arizona Coyotes,5,Minnesota Wild,3,
4/26/2022,Calgary Flames,5,Nashville Predators,4,
4/26/2022,Carolina Hurricanes,4,New York Rangers,3,
4/26/2022,New Jersey Devils,4,Ottawa Senators,5,
4/26/2022,Edmonton Oilers,5,Pittsburgh Penguins,1,
4/26/2022,Anaheim Ducks,5,San Jose Sharks,2,
4/26/2022,Columbus Blue Jackets,1,Tampa Bay Lightning,4,
4/26/2022,Detroit Red Wings,0,Toronto Maple Leafs,3,
4/26/2022,Seattle Kraken,2,Vancouver Canucks,5,
4/26/2022,New York Islanders,4,Washington Capitals,1,
4/27/2022,Vegas Golden Knights,3,Chicago Blackhawks,4,
4/27/2022,Arizona Coyotes,4,Dallas Stars,3,
4/27/2022,Montreal Canadiens,4,New York Rangers,3,
4/27/2022,Los Angeles Kings,5,Seattle Kraken,3,
4/27/2022,Philadelphia Flyers,0,Winnipeg Jets,4,
4/28/2022,Buffalo Sabres,0,Boston Bruins,5,
4/28/2022,New Jersey Devils,3,Carolina Hurricanes,6,
4/28/2022,Tampa Bay Lightning,2,Columbus Blue Jackets,5,
4/28/2022,Nashville Predators,5,Colorado Avalanche,4,
4/28/2022,San Jose Sharks,4,Edmonton Oilers,5,
4/28/2022,Calgary Flames,2,Minnesota Wild,3,
4/28/2022,Washington Capitals,1,New York Islanders,5,
4/28/2022,Florida Panthers,4,Ottawa Senators,0,
4/28/2022,Los Angeles Kings,2,Vancouver Canucks,3,
4/29/2022,Nashville Predators,4,Arizona Coyotes,5,
4/29/2022,Chicago Blackhawks,2,Buffalo Sabres,3,
4/29/2022,Anaheim Ducks,2,Dallas Stars,4,
4/29/2022,Vancouver Canucks,2,Edmonton Oilers,3,
4/29/2022,Colorado Avalanche,1,Minnesota Wild,4,
4/29/2022,Florida Panthers,2,Montreal Canadiens,10,
4/29/2022,Detroit Red Wings,5,New Jersey Devils,3,
4/29/2022,Tampa Bay Lightning,6,New York Islanders,4,
4/29/2022,Washington Capitals,2,New York Rangers,3,
4/29/2022,Ottawa Senators,4,Philadelphia Flyers,2,
4/29/2022,Columbus Blue Jackets,3,Pittsburgh Penguins,5,
4/29/2022,San Jose Sharks,0,Seattle Kraken,3,
4/29/2022,Vegas Golden Knights,7,St. Louis Blues,4,
4/29/2022,Boston Bruins,2,Toronto Maple Leafs,5,
4/29/2022,Calgary Flames,1,Winnipeg Jets,3,
5/1/2022,Seattle Kraken,3,Winnipeg Jets,4,
